ProductID,ProductName,Category,UnitPrice
2000,Electronics-Writer,Electronics,969.31
2001,Clothing-Partner,Clothing,412.35
2002,Office-Page,Clothing,866.0
2003,Electronics-Without,Clothing,385.18
2004,Office-At,Home,927.25
2005,Office-Black,Home,428.78
2006,Office-Hard,Clothing,198.0
2007,Clothing-Impact,Electronics,583.39
2008,Electronics-Everything,Home,66.59
2009,Office-Truth,Clothing,66.31
2010,Electronics-Compare,Clothing,77.84
2011,Electronics-Machine,Clothing,409.74
2012,Clothing-Because,Electronics,623.19
2013,Office-Chair,Home,935.36
2014,Clothing-True,Home,246.3
2015,Office-Blood,Clothing,674.97
2016,Home-Nation,Office,323.02
2017,Electronics-Challenge,Electronics,463.7
2018,Electronics-Choose,Electronics,542.26
2019,Home-Dark,Clothing,933.93
2020,Electronics-Both,Clothing,375.83
2021,Clothing-Pass,Office,835.41
2022,Home-New,Electronics,671.18
2023,Home-Fly,Electronics,939.54
2024,Clothing-Claim,Home,124.27
2025,Electronics-Impact,Clothing,279.62
2026,Clothing-Television,Home,211.56
2027,Home-Company,Office,258.61
2028,Electronics-Although,Electronics,637.94
2029,Home-Door,Electronics,13.51
2030,Clothing-Charge,Home,169.97
2031,Office-Produce,Office,565.3
2032,Electronics-Usually,Electronics,945.6
2033,Clothing-Bill,Electronics,836.25
2034,Clothing-During,Office,136.17
2035,Home-Role,Home,899.99
2036,Electronics-Clearly,Home,217.98
2037,Clothing-Almost,Electronics,360.14
2038,Office-Agreement,Clothing,926.51
2039,Clothing-Story,Clothing,976.44
2040,Clothing-Billion,Office,34.54
2041,Home-Everyone,Office,804.21
2042,Clothing-Tend,Home,167.61
2043,Electronics-Beat,Office,873.45
2044,Office-Himself,Clothing,207.58
2045,Office-Bill,Home,312.14
2046,Clothing-Name,Clothing,33.43
2047,Clothing-Trip,Office,334.98
2048,Electronics-Republican,Home,357.63
2049,Office-Force,Home,939.84
2050,Electronics-Probably,Home,186.78
2051,Home-Think,Electronics,117.32
2052,Office-Feel,Home,731.26
2053,Home-Early,Office,610.15
2054,Electronics-Technology,Office,900.51
2055,Clothing-Fast,Home,53.94
2056,Office-Fish,Electronics,524.72
2057,Clothing-Side,Home,436.98
2058,Home-State,Home,666.75
2059,Electronics-Better,Home,512.05
2060,Office-Off,Home,408.38
2061,Home-Area,Clothing,199.92
2062,Office-Shake,Clothing,619.36
2063,Home-Those,Office,552.46
2064,Electronics-Each,Home,294.04
2065,Office-White,Home,470.34
2066,Office-Mrs,Clothing,516.06
2067,Clothing-Letter,Electronics,290.95
2068,Home-Fear,Electronics,820.24
2069,Clothing-Memory,Home,232.39
2070,Clothing-Ability,Clothing,34.18
2071,Clothing-Word,Office,615.16
2072,Electronics-Reduce,Office,420.3
2073,Clothing-Suggest,Office,499.43
2074,Clothing-Place,Clothing,659.5
2075,Electronics-Black,Electronics,780.64
2076,Clothing-Think,Clothing,806.07
2077,Office-Easy,Electronics,561.83
2078,Electronics-Professor,Office,142.01
2079,Office-Than,Home,950.54
2080,Office-Avoid,Office,832.26
2081,Office-Theory,Clothing,746.22
2082,Office-Give,Office,266.6
2083,Clothing-From,Home,768.16
2084,Office-New,Clothing,281.85
2085,Electronics-Plant,Home,242.15
2086,Home-Expert,Home,894.1
2087,Electronics-Provide,Clothing,159.32
2088,Office-Investment,Clothing,709.35
2089,Electronics-Wrong,Office,413.52
2090,Office-Amount,Office,71.64
2091,Office-Seven,Office,905.79
2092,Electronics-Scene,Office,482.21
2093,Home-Rate,Home,755.94
2094,Office-Development,Clothing,493.35
2095,Home-Purpose,Office,490.79
2096,Office-Early,Home,672.18
2097,Office-Bad,Clothing,842.1
2098,Clothing-Might,Electronics,907.86
2099,Electronics-Question,Electronics,646.32
